Rank,Stadium,Seating capacity,Region,Country,City,Images,Home team(s)
287,Toyota Stadium,45000,East Asia,Japan,"Toyota City, Aichi",,"Nagoya Grampus, Toyota Verblitz"
288,Zayed Sports City Stadium,"45,000[60]",West Asia,United Arab Emirates,Abu Dhabi,,
289,Red Bull Arena,44345,Europe,Germany,Leipzig,,RB Leipzig
290,Estádio Governador Alberto Tavares Silva,44200,South America,Brazil,Teresina,,"River AC, EC Flamengo, Piauí EC, SE Tiradentes, Auto EC"
291,Estádio Universitário Pedro Pedrossian,44200,South America,Brazil,"Campo Grande, Mato Grosso do Sul",,"EC Comercial, Operário FC"
292,Ulsan Munsu Football Stadium,44102,East Asia,South Korea,Ulsan,,Ulsan HD FC
293,Arena Pantanal,44097,South America,Brazil,"Cuiabá, Mato Grosso",,"Cuiabá, Mixto EC"
294,Arena da Amazônia,44000,South America,Brazil,"Manaus, Amazonas",,Nacional FC
295,Suwon World Cup Stadium,43959,East Asia,South Korea,Suwon,,Suwon Samsung Bluewings
296,Stadion Utama Riau,43923,Southeast Asia,Indonesia,"Pekanbaru, Riau",,PSPS Pekanbaru
297,Allianz Parque,43713,South America,Brazil,"São Paulo, São Paulo",,SE Palmeiras
298,Shandong Provincial Stadium,43700,East Asia,China,"Jinan, Shandong",,
299,Polsat Plus Arena Gdańsk,43615,Europe,Poland,Gdańsk,,Lechia Gdańsk
300,Estadio Pedro Bidegain,43494,South America,Argentina,Buenos Aires,,CA San Lorenzo de Almagro
301,Stadion Miejski w Poznaniu,43269,Europe,Poland,Poznań,,"Lech Poznań, Warta Poznań"
302,Vasil Levski National Stadium,43230,Europe,Bulgaria,Sofia,,Bulgaria national football team
303,Estadio Universidad San Marcos,43000,South America,Peru,Lima,,Deportivo Universidad San Marcos
304,Ullevi,43000,Europe,Sweden,Gothenburg,,Sweden women's national football team
305,Jinzhou Binhai Sports Centre Stadium,43000,East Asia,China,Jinzhou,,
306,Estadio General Santander,42901,South America,Colombia,Cúcuta,,Cúcuta Deportivo
307,Villa Park,42682,Europe,England,"Birmingham, West Midlands",,Aston Villa
308,Perak Stadium,42500,Southeast Asia,Malaysia,Perak,,Perak FA
309,Jeonju World Cup Stadium,42477,East Asia,South Korea,Jeonju,,Jeonbuk Hyundai Motors FC
310,Ligga Arena,42372,South America,Brazil,"Curitiba, Paraná",,Athletico Paranaense
311,Weserstadion,42358,Europe,Germany,Bremen,,SV Werder Bremen
312,Denka Big Swan Stadium,42300,East Asia,Japan,"Niigata, Niigata",,Albirex Niigata
313,Estadio Olimpico Metropolitano de Mérida,42200,South America,Venezuela,Mérida,,Estudiantes de Mérida
314,Daejeon World Cup Stadium,42176,East Asia,South Korea,Daejeon,,Daejeon Citizen
315,Matmut ATLANTIQUE,42115,Europe,France,Bordeaux,,FC Girondins de Bordeaux
316,Helsingin Olympiastadion ♦,42062,Europe,Finland,Helsinki,,Finland national football team
317,Estádio Serra Dourada,42000,South America,Brazil,"Goiânia, Goiás",,"Goiás Esporte Clube, Vila Nova, Atlético Goianiense"
318,Estadio Deportivo Cali ♦,42000,South America,Colombia,Cali,,Deportivo Cali
319,Estadio Modelo Alberto Spencer,42000,South America,Ecuador,Guayaquil,,"Club Sport Patria, Club Deportivo Everest, Panamá Sporting Club, Rocafuerte Fútbol Club"
320,Estádio do Zimpeto,42000,Africa,Mozambique,Maputo,,Mozambique national football team
321,Chengdu Sports Centre Stadium,42000,East Asia,China,"Chengdu, Sichuan",,
322,Royal Bafokeng Stadium,42000,Africa,South Africa,"Phokeng, North West",,
323,Estadio Universitario,42000,North America,Mexico,San Nicolás de los Garza,,Tigres de la UANL
324,Estadio Brigadier General Estanislao López,42000,South America,Argentina,Santa Fe,,Club Atlético Colón
325,Estadio Marcelo Bielsa,42000,South America,Argentina,Rosario,,Newell's Old Boys
326,Stade Geoffroy-Guichard,41965,Europe,France,Saint-Étienne,,AS Saint-Étienne
327,Vodafone Park,41903,Europe,Turkey,Istanbul,,Beşiktaş J.K.
328,Peter Mokaba Stadium,41733,Africa,South Africa,Polokwane,,Polokwane City FC
329,Estadio Gigante de Arroyito,41654,South America,Argentina,Rosario,,Rosario Central
330,Estadio Cachamay,41600,South America,Venezuela,Ciudad Guayana,,"Atlético Club Mineros de Guayana, AC Minervén FC"
331,Estadio de Liga Deportiva Universitaria,41596,South America,Ecuador,Quito,,LDU
332,Allianz Stadium,41507,Europe,Italy,"Turin, Piedmont",,Juventus FC
333,Sapporo Dome,41484,East Asia,Japan,"Sapporo, Hokkaido",,Hokkaido Consadole Sapporo
334,Stamford Bridge,41663,Europe,England,London,,Chelsea
335,Goyang Stadium,41311,East Asia,South Korea,Goyang,,
336,Estadio Hernando Siles ♦,41143,South America,Bolivia,La Paz,,"La Paz FC, Club Bolívar, The Strongest"
337,Bingu National Stadium,41100,Africa,Malawi,Lilongwe,,"Flames, Big Bullets FC"
338,Mbombela Stadium,40929,Africa,South Africa,"Nelspruit, Mpumalanga",,
339,Estadio José Pachencho Romero,40800,South America,Venezuela,Maracaibo,,"Deportivo JBL del Zulia, Deportivo Rayo Zuliano"
340,Stade Nelson Mandela,40784,Africa,Algeria,Algiers,,Algeria national football team
341,Kashima Football Stadium,40728,East Asia,Japan,"Kashima, Ibaraki",,Kashima Antlers
342,Baba Yara Stadium ♦,40528,Africa,Ghana,Kumasi,,"Asante Kotoko, King Faisal Babes"
343,Estádio Major Antônio Couto Pereira,40502,South America,Brazil,"Curitiba, Paraná",,Coritiba Foot Ball Club
344,Stage Front Stadium,40500,Europe,Spain,Barcelona,,RCD Espanyol
345,Estadio Metropolitano de fútbol de Lara,40312,South America,Venezuela,Barquisimeto,,Unión Lara
346,Estadio Malvinas Argentinas,40268,South America,Argentina,Mendoza,,Godoy Cruz Antonio Tomba
347,Stadion Lukas Enembe,40263,Southeast Asia,Indonesia,Nolokla,,Persipura Jayapura
348,Gwangju World Cup Stadium,40245,East Asia,South Korea,Gwangju,,Gwangju FC
349,Sân vận động Quốc gia Mỹ Đình ♦,40192,Southeast Asia,Vietnam,Hanoi,,Vietnam national football team
350,Goodison Park,40157,Europe,England,"Liverpool, North West",,Everton FC
351,Estádio Governador João Castelo,40149,South America,Brazil,"São Luís, Maranhão",,"Sampaio Corrêa FC, Moto Club SL, Maranhão AC"
352,Stade Miloud-Hadefi,40143,Africa,Algeria,Oran,,"Algeria national football team, MC Oran"
353,Estadio Campeón del Siglo,40005,South America,Uruguay,Montevideo,,Club Atlético Peñarol
354,Metalist Stadium,40003,Europe,Ukraine,Kharkiv,,"FC Metalist Kharkiv, FC Shakhtar Donetsk"
355,Al-Janoub Stadium,40000,West Asia,Qatar,Al-Wakrah,,
356,Al-Thumama Stadium,40000,West Asia,Qatar,Al-Thumama,,
357,Stade Ahmed-Zabana,40000,Africa,Algeria,Oran,,MC Oran
358,Stadion Batakan,40000,Southeast Asia,Indonesia,"Balikpapan, East Kalimantan",,Persiba Balikpapan
359,Stadion Gelora Joko Samudro,40000,Southeast Asia,Indonesia,"Gresik, East Java",,Gresik United
360,Fisht Olympic Stadium,40000,Europe,Russia,Sochi,,
361,Rentschler Field,40000,North America,United States,"East Hartford, Connecticut",,
362,Jawaharlal Nehru Stadium,40000,South Asia,India,Kochi,,"Kerala Blasters, India national football team"
363,Hang Jebat Stadium,40000,Southeast Asia,Malaysia,Malacca,,Melaka United
364,Hong Kong Stadium ♦,40000,East Asia,Hong Kong,So Kon Po,,South China AA
365,Stadium Negeri Pulau Pinang,40000,Southeast Asia,Malaysia,Batu Kawan,,Penang FA
366,Accra Sports Stadium,40000,Africa,Ghana,Accra,,"Accra Hearts of Oak SC, Great Olympics"
367,Sarawak Stadium,40000,Southeast Asia,Malaysia,Kuching,,Sarawak FA
368,Bogyoke Aung San Stadium ♦,40000,Southeast Asia,Myanmar,Yangon,,Yangon United FC
369,Resonac Dome Ōita,40000,East Asia,Japan,Ōita,,Ōita Trinita
370,Stadium Darul Makmur,40000,Southeast Asia,Malaysia,Kuantan,,Pahang FA
371,Khalifa International Stadium,40000,West Asia,Qatar,Doha,,Qatar national football team
372,Stade de l’Amitié sino-gabonaise ♦,40000,Africa,Gabon,Libreville,,Gabon national football team
373,Peoples Football Stadium,40000,South Asia,Pakistan,Karachi,,Pakistan national football team
374,JRD Tata Sports Complex Stadium,40000,South Asia,India,Jamshedpur,,"Jamshedpur FC, Tata Football Academy"
375,Bao'an Stadium,40000,East Asia,China,"Shenzhen, Guangdong",,
376,Kunming Tuodong Sports Centre Stadium,40000,East Asia,China,"Kunming, Yunnan",,China national football team
377,Taizhou Sports Centre Stadium,40000,East Asia,China,"Taizhou, Zhejiang",,
378,Wuhu Olympic Stadium,40000,East Asia,China,"Wuhu, Anhui",,
379,Huizhou Olympic Stadium,40000,East Asia,China,"Huizhou, Guangdong",,
